System,Orbit number,T_mid,Uncertainty (days),Time System,#,Reference
WASP-012,-2286,2454515.52496,0.00043,BJD_TDB,>1,2020AJ....159..150P; 2009ApJ...693.1920H
WASP-012,-1992,2454836.4034,0.00028,BJD_TDB,1,2020AJ....159..150P; 2013MNRAS.434..661C
WASP-012,-1988,2454840.76893,0.00062,BJD_TDB,1,2020AJ....159..150P; 2011AJ....141..179C
WASP-012,-1713,2455140.90981,0.00042,BJD_TDB,1,2020AJ....159..150P; 2017AJ....153...78C
WASP-012,-1707,2455147.45861,0.00043,BJD_TDB,1,2020AJ....159..150P; 2016A&A...588L...6M
WASP-012,-1692,2455163.83061,0.00032,BJD_TDB,1,2020AJ....159..150P; 2017AJ....153...78C
WASP-012,-1684,2455172.56138,0.00036,BJD_TDB,1,2020AJ....159..150P; 2011AJ....141..179C
WASP-012,-1650,2455209.66895,0.00046,BJD_TDB,1,2020AJ....159..150P; 2017AJ....153...78C
WASP-012,-1649,2455210.76151,0.00041,BJD_TDB,1,2020AJ....159..150P; 2017AJ....153...78C
WASP-012,-1631,2455230.40669,0.00019,BJD_TDB,1,2020AJ....159..150P; 2016A&A...588L...6M
WASP-012,-1609,2455254.41871,0.00043,BJD_TDB,1,2020AJ....159..150P; 2016A&A...588L...6M
WASP-012,-1389,2455494.52999,0.00072,BJD_TDB,1,2020AJ....159..150P; 2016A&A...588L...6M
WASP-012,-1385,2455498.8959,0.00079,BJD_TDB,1,2020AJ....159..150P; 2012PASP..124..212S
WASP-012,-1375,2455509.80971,0.00037,BJD_TDB,1,2020AJ....159..150P; 2017AJ....153...78C
WASP-012,-1374,2455510.90218,0.00031,BJD_TDB,1,2020AJ....159..150P; 2017AJ....153...78C
WASP-012,-1367,2455518.5407,0.0004,BJD_TDB,1,2020AJ....159..150P; 2012ApJ...747...82C
WASP-012,-1345,2455542.5521,0.0004,BJD_TDB,1,2020AJ....159..150P; 2012ApJ...747...82C
